slice,n_active,meanSTTC,Q_obs,Q_null_mu,Q_null_hi,z_Q,defined,above_null_Q
20260115_240,8,-0.024860559059009628,0.15455088725090813,0.3000280614164573,0.5060495219644617,-1.0797627436132138,1,0
20260115_243,38,0.033170808015387576,0.2535728570291676,0.28246791002239957,0.31766274387105287,-1.3807779914757705,1,0
20260120_248,14,0.06718744215561546,0.4058823592253247,0.3243085027392545,0.5926744318445681,0.5022616063286203,1,0
20260121_250,5,0.0039100103800263795,0.47553485502108606,0.07457446898471846,0.4279061848372594,2.815385104000525,1,1
20260121_252,5,-0.012357299004883396,0.0,0.027285596613830843,0.2129504476900699,-0.37476248987210176,1,0
20260122_256,23,0.04356282660309334,0.34285599053506516,0.33756105218091725,0.4032282627440783,0.12846396047974754,1,0
20260122_259,30,0.5798680821060928,0.0027704310127129933,0.5526278866136458,0.636613673843813,-10.326460629259852,1,0
20260130_270,47,0.058178350777820007,0.2907309031649885,0.37025755482641814,0.4125725025206129,-3.3625958980847335,1,0
20260130_272,21,0.05597851694322942,0.32481535711455806,0.41554427668380384,0.49258615547554224,-1.9734669612069375,1,0
20260225_275,4,0.08764214391622649,0.0,4.911535968475912e-18,1.739765809024824e-16,nan,1,0
20260225_277,21,0.8452274995286565,-1.6012431393156037e-16,0.673068212128017,0.7910355305420997,-7.4167914202315215,1,0
20260225_280,4,0.10697503398838216,0.0,0.0,0.0,nan,1,0
20260226_282,7,0.03419548837370473,0.22763638824005575,0.25966006602232045,0.5115568920656153,-0.2200691786517357,1,0
20260226_285,6,0.10829118656446096,0.0,0.07428994634184474,0.4704016539436844,-0.5185656693318283,1,0
20260226_287,14,0.13168798873707943,0.1727456362458631,0.24970868066552254,0.3339868329943171,-1.6962039144436218,1,0
20260303_290,32,0.12157976660309014,0.15923073739332885,0.262407554114198,0.3062331689324236,-3.8641023998584263,1,0
20260303_296,51,0.19588532261542338,0.10678529493691484,0.17397174390453052,0.1939175404360134,-6.122919963341907,1,0
20260303_301,24,0.15415915476728395,0.17485297592332147,0.21541497338899682,0.2608146296177623,-1.6419172328046692,1,0
20260629_309,20,0.058849285671077445,0.2992411368943095,0.37707612502886184,0.4652139054526243,-1.5184097160354093,1,0
20260629_312,20,0.11839889814149548,0.1699294604962669,0.361515564117597,0.43878529406406896,-4.3311910737108805,1,0
20260629_314,14,0.11795561398924462,0.12249415515700464,0.15831967543429698,0.2570624517305784,-0.5460156087071847,1,0
20260630_316,34,0.1422789070623433,0.09790283883773887,0.17841960660478884,0.20665268928154595,-5.137221806755505,1,0
20260630_325,19,0.17017970724696996,0.07488426726668093,0.21670106367012168,0.2644484293946492,-5.276093434726126,1,0
20260701_328,8,0.03889354216285462,0.28999585165393754,0.29440115999150446,0.5570572595591139,-0.02460799694401917,1,0
20260701_331,15,0.025381783770353793,0.27725756620681863,0.38069384647342913,0.5291657472989602,-1.2037526705905233,1,0
20260702_334,32,0.18522491637929003,0.0968300489532497,0.14125406920682068,0.16915657262847883,-2.836871728541133,1,0
20260702_338,15,0.00521100281634511,0.31265461979682346,0.4599697066897471,0.6048561863789068,-1.7049380634171662,1,0
20260706_341,33,0.15633279164494887,0.1025913847094966,0.21036902735948762,0.2422907708047159,-5.631219480602243,1,0
20260706_343,44,0.10962328976220624,0.1483955351373012,0.27909797817410326,0.31779492812665067,-6.165455652780319,1,0
20260707_346,9,0.18107990783261013,0.02228705761453686,0.3084256393928432,0.489032896141384,-2.3037579070688796,1,0
20260707_348,18,0.13074037081632695,0.4101908228249,0.552662692775368,0.7378163193980312,-1.1041791814631867,1,0
