slice,n_active,meanSTTC,Q_obs,Q_null_mu,Q_null_hi,z_Q,defined,above_null_Q
20260122_259,37,0.7879865360348074,-2.1625491972682557e-16,0.681805482667194,0.7551879382826479,-13.484536778174357,1,0
20260130_270,46,0.5722689924156769,0.031182277848930184,0.22785362859051767,0.2587393927905651,-11.532911662501107,1,0
20260130_272,25,0.08980056211284972,0.2116551210574629,0.5010875325813671,0.5918715468743838,-5.159004550362141,1,0
20260225_275,5,0.10729100416982695,0.49994646419217487,0.06778935107690506,0.49994646419217487,2.52487623459052,1,0
20260225_277,7,0.035179786200194366,0.0,0.12256482000474742,0.4903966316034632,-0.6626930801597806,1,0
20260225_280,9,0.08021885521885522,0.0,0.0,0.0,nan,1,0
20260226_282,5,0.07064519754501146,0.18799993543722301,0.06096410759670312,0.4859942392870948,0.9725440571499618,1,0
20260226_285,6,-0.013784017003597607,0.0,0.005534572239150424,1.8759629235492859e-16,-0.11174919400230512,1,0
20260226_287,14,0.056362885985982235,0.4264218757819695,0.4060797131159887,0.5547119364684914,0.22987832147709777,1,0
20260303_290,33,0.3309163448092583,0.053037778652725805,0.18594421576877168,0.22745807981723104,-6.250182607045998,1,0
20260303_296,51,0.6488379852788051,0.03185886594453172,0.12636974592628483,0.14194322858440905,-10.610296332118995,1,0
20260303_301,24,0.3602330844112418,0.1039068199488433,0.33222682441358586,0.39398929565164376,-5.868970860233083,1,0
20260629_309,21,0.23998411011024962,0.10641423177134299,0.3455784477493112,0.4241663325393622,-4.952101252249417,1,0
20260629_312,20,0.46134809472818444,0.04466798933388137,0.2654172496838618,0.3232125704730241,-6.29197707492107,1,0
20260629_314,13,0.21302113588514557,0.1515238741871079,0.3593279807562942,0.4989249096320767,-2.4391771531484974,1,0
20260630_316,34,0.3819040016535521,0.06938390244266883,0.13546107174633684,0.1576001682337813,-5.028926058071836,1,0
20260630_325,19,0.6130531622442467,-1.3555824952434283e-16,0.1288496942560024,0.16350944099870346,-6.456588185862442,1,0
20260701_328,5,0.03267120622568094,0.0,0.026201240061366225,0.19450426823240577,-0.29823325631525094,1,0
20260701_331,7,-0.00561312977223131,0.0,0.08586689594743498,0.4658401744934953,-0.545962725343683,1,0
20260702_334,36,0.5053730685919983,0.05976887295534504,0.3657308868170482,0.4160748578555326,-9.640988804477235,1,0
20260702_338,11,0.046257836371275264,0.3472988501024439,0.3738422191469337,0.5895724103991372,-0.19063145495555062,1,0
20260706_341,33,0.5620875607449646,0.03412901084731556,0.14497701667517413,0.1677380619682116,-9.243550421613365,1,0
20260706_343,43,0.20125066127814656,0.09592928001846572,0.36051894860038886,0.40361787542884564,-9.986244508880922,1,0
20260707_346,10,0.4235007934156608,0.039818375388723876,0.21206117762740237,0.3430533946722579,-2.8188922919031483,1,0
20260707_348,29,0.5536796119375861,0.052713052704997765,0.4031623737663386,0.47884131369858224,-7.789506932713985,1,0
